id,code,name,country_id
res_country_state_012800000,12800000,Ilocos Norte,PH
res_country_state_012900000,12900000,Ilocos Sur,PH
res_country_state_013300000,13300000,La Union,PH
res_country_state_015500000,15500000,Pangasinan,PH
res_country_state_020900000,20900000,Batanes,PH
res_country_state_021500000,21500000,Cagayan,PH
res_country_state_023100000,23100000,Isabela,PH
res_country_state_025000000,25000000,Nueva Vizcaya,PH
res_country_state_025700000,25700000,Quirino,PH
res_country_state_037700000,37700000,Aurora,PH
res_country_state_030800000,30800000,Bataan,PH
res_country_state_031400000,31400000,Bulacan,PH
res_country_state_034900000,34900000,Nueva Ecija,PH
res_country_state_035400000,35400000,Pampanga,PH
res_country_state_036900000,36900000,Tarlac,PH
res_country_state_037100000,37100000,Zambales,PH
res_country_state_041000000,41000000,Batangas,PH
res_country_state_042100000,42100000,Cavite,PH
res_country_state_043400000,43400000,Laguna,PH
res_country_state_045600000,45600000,Quezon,PH
res_country_state_045800000,45800000,Rizal,PH
res_country_state_174000000,174000000,Marinduque,PH
res_country_state_175100000,175100000,Occidental Mindoro,PH
res_country_state_175200000,175200000,Oriental Mindoro,PH
res_country_state_175300000,175300000,Palawan,PH
res_country_state_175900000,175900000,Romblon,PH
res_country_state_050500000,50500000,Albay,PH
res_country_state_051600000,51600000,Camarines Norte,PH
res_country_state_051700000,51700000,Camarines Sur,PH
res_country_state_052000000,52000000,Catanduanes,PH
res_country_state_054100000,54100000,Masbate,PH
res_country_state_056200000,56200000,Sorsogon,PH
res_country_state_060400000,60400000,Aklan,PH
res_country_state_060600000,60600000,Antique,PH
res_country_state_061900000,61900000,Capiz,PH
res_country_state_067900000,67900000,Guimaras,PH
res_country_state_063000000,63000000,Iloilo,PH
res_country_state_184500000,184500000,Negros Occidental,PH
res_country_state_071200000,71200000,Bohol,PH
res_country_state_072200000,72200000,Cebu,PH
res_country_state_184600000,184600000,Negros Oriental,PH
res_country_state_076100000,76100000,Siquijor,PH
res_country_state_087800000,87800000,Biliran,PH
res_country_state_082600000,82600000,Eastern Samar,PH
res_country_state_083700000,83700000,Leyte,PH
res_country_state_084800000,84800000,Northern Samar,PH
res_country_state_086000000,86000000,Samar (Western Samar),PH
res_country_state_086400000,86400000,Southern Leyte,PH
res_country_state_097200000,97200000,Zamboanga del Norte,PH
res_country_state_097300000,97300000,Zamboanga del Sur,PH
res_country_state_098300000,98300000,Zamboanga Sibugay,PH
res_country_state_101300000,101300000,Bukidnon,PH
res_country_state_101800000,101800000,Camiguin,PH
res_country_state_103500000,103500000,Lanao del Norte,PH
res_country_state_104200000,104200000,Misamis Occidental,PH
res_country_state_104300000,104300000,Misamis Oriental,PH
res_country_state_118200000,118200000,Compostela Valley,PH
res_country_state_112300000,112300000,Davao del Norte,PH
res_country_state_112400000,112400000,Davao del Sur,PH
res_country_state_118600000,118600000,Davao Occidental,PH
res_country_state_112500000,112500000,Davao Oriental,PH
res_country_state_124700000,124700000,North Cotabato,PH
res_country_state_128000000,128000000,Sarangani,PH
res_country_state_126300000,126300000,South Cotabato,PH
res_country_state_126500000,126500000,Sultan Kudarat,PH
res_country_state_160200000,160200000,Agusan del Norte,PH
res_country_state_160300000,160300000,Agusan del Sur,PH
res_country_state_168500000,168500000,Dinagat Islands,PH
res_country_state_166700000,166700000,Surigao del Norte,PH
res_country_state_166800000,166800000,Surigao del Sur,PH
res_country_state_150700000,150700000,Basilan,PH
res_country_state_153600000,153600000,Lanao del Sur,PH
res_country_state_153800000,153800000,Maguindanao,PH
res_country_state_156600000,156600000,Sulu,PH
res_country_state_157000000,157000000,Tawi-tawi,PH
res_country_state_140100000,140100000,Abra,PH
res_country_state_148100000,148100000,Apayao,PH
res_country_state_141100000,141100000,Benguet,PH
res_country_state_142700000,142700000,Ifugao,PH
res_country_state_143200000,143200000,Kalinga,PH
res_country_state_144400000,144400000,Mountain Province,PH
res_country_state_137500000,137500000,Metro Manila - Caloocan,PH
res_country_state_137600000,137600000,Metro Manila - Las Pinas,PH
res_country_state_137600000,137600000,Metro Manila - Makati,PH
res_country_state_137500000,137500000,Metro Manila - Malabon,PH
res_country_state_137400000,137400000,Metro Manila - Mandaluyong,PH
res_country_state_133900000,133900000,Metro Manila - Manila,PH
res_country_state_137400000,137400000,Metro Manila - Marikina,PH
res_country_state_137600000,137600000,Metro Manila - Muntinlupa,PH
res_country_state_137500000,137500000,Metro Manila - Navotas,PH
res_country_state_137600000,137600000,Metro Manila - Paranaque,PH
res_country_state_137600000,137600000,Metro Manila - Pasay,PH
res_country_state_137400000,137400000,Metro Manila - Pasig,PH
res_country_state_137500000,137500000,Metro Manila - Pateros,PH
res_country_state_137400000,137400000,Metro Manila - Quezon City,PH
res_country_state_137400000,137400000,Metro Manila - San Juan,PH
res_country_state_137500000,137500000,Metro Manila - Taguig,PH
res_country_state_137500000,137500000,Metro Manila - Valenzuela,PH
